Conference,Year,Name,Institution,Continent
IEEEcloud,2015,Heiko Ludwig,IBM Almaden,NA
IEEEcloud,2015,Jason Mars,"University of Michigan, Ann Arbor",NA
IEEEcloud,2015,Brahim Medjahed,University of Michigan,NA
IEEEcloud,2015,Sameep Mehta,IBM Research India,AS
IEEEcloud,2015,Ningfang Mi,Northeastern University,NA
IEEEcloud,2015,Ramses Morales,VMware,NA
IEEEcloud,2015,Tridib Mukherjee,Xerox India,AS
IEEEcloud,2015,Kiran-Kumar Muniswamy-Reddy,Amazon,NA
IEEEcloud,2015,Leandro Navarro,Universitat Politecnica de Catalunya,EU
IEEEcloud,2015,Surya Nepal,CSIRO ICT Center,OC
